Unnamed: 0,Carat,Cut,Color,Clarity,Depth,Table,Price
0,0.23,Ideal,E,SI2,61.5,55.0,326
1,0.21,Premium,E,SI1,59.8,61.0,326
2,0.23,Good,E,VS1,56.9,65.0,327
3,0.29,Premium,I,VS2,62.4,58.0,334
4,0.31,Good,J,SI2,63.3,58.0,335
5,0.24,VeryGood,J,VVS2,62.8,57.0,336
6,0.24,VeryGood,I,VVS1,62.3,57.0,336
7,0.26,VeryGood,H,SI1,61.9,55.0,337
8,0.22,Fair,E,VS2,65.1,61.0,337
9,0.23,VeryGood,H,VS1,59.4,61.0,338
10,0.3,Good,J,SI1,64.0,55.0,339
11,0.23,Ideal,J,VS1,62.8,56.0,340
12,0.22,Premium,F,SI1,60.4,61.0,342
13,0.31,Ideal,J,SI2,62.2,54.0,344
14,0.2,Premium,E,SI2,60.2,62.0,345
15,0.32,Premium,E,I1,60.9,58.0,345
16,0.3,Ideal,I,SI2,62.0,54.0,348
17,0.3,Good,J,SI1,63.4,54.0,351
18,0.3,Good,J,SI1,63.8,56.0,351
19,0.3,VeryGood,J,SI1,63.55,59.0,351
20,0.3,Good,I,SI2,63.3,56.0,351
21,0.23,VeryGood,E,VS2,63.8,55.0,352
22,0.23,VeryGood,H,VS1,61.0,57.0,353
23,0.31,VeryGood,J,SI1,59.4,62.0,353
24,0.31,VeryGood,J,SI1,58.1,62.0,353
25,0.23,VeryGood,G,VVS2,60.4,58.0,354
26,0.24,Premium,I,VS1,62.5,57.0,355
27,0.3,VeryGood,J,VS2,62.2,57.0,357
28,0.23,VeryGood,D,VS2,60.5,61.0,357
29,0.23,VeryGood,F,VS1,60.9,57.0,357
30,0.23,VeryGood,F,VS1,60.0,57.0,402
31,0.23,VeryGood,F,VS1,59.8,57.0,402
32,0.23,VeryGood,E,VS1,60.7,59.0,402
33,0.23,VeryGood,E,VS1,59.5,58.0,402
34,0.23,VeryGood,D,VS1,61.9,58.0,402
35,0.23,Good,F,VS1,58.2,59.0,402
36,0.23,Good,E,VS1,64.1,59.0,402
37,0.31,Good,H,SI1,64.0,54.0,402
38,0.26,VeryGood,D,VS2,60.8,59.0,403
39,0.33,Ideal,I,SI2,61.8,55.0,403
40,0.33,Ideal,I,SI2,61.2,56.0,403
41,0.33,Ideal,J,SI1,61.1,56.0,403
42,0.26,Good,D,VS2,65.2,56.0,403
43,0.26,Good,D,VS1,58.4,63.0,403
44,0.32,Good,H,SI2,63.1,56.0,403
45,0.29,Premium,F,SI1,62.4,58.0,403
46,0.32,VeryGood,H,SI2,61.8,55.0,403
47,0.32,Good,H,SI2,63.8,56.0,403
48,0.25,VeryGood,E,VS2,63.3,60.0,404
49,0.29,VeryGood,H,SI2,60.7,60.0,404
50,0.24,VeryGood,F,SI1,60.9,61.0,404
51,0.23,Ideal,G,VS1,61.9,54.0,404
52,0.32,Ideal,I,SI1,60.9,55.0,404
53,0.22,Premium,E,VS2,61.6,58.0,404
54,0.22,Premium,D,VS2,59.3,62.0,404
55,0.3,Ideal,I,SI2,61.0,59.0,405
56,0.3,Premium,J,SI2,59.3,61.0,405
57,0.3,VeryGood,I,SI1,62.6,57.0,405
58,0.3,VeryGood,I,SI1,63.0,57.0,405
59,0.3,Good,I,SI1,63.2,55.0,405
60,0.35,Ideal,I,VS1,60.9,57.0,552
61,0.3,Premium,D,SI1,62.6,59.0,552
62,0.3,Ideal,D,SI1,62.5,57.0,552
63,0.3,Ideal,D,SI1,62.1,56.0,552
